player_id,fifa_version,short_name,long_name,player_positions,age,dob,height_cm,weight_kg,league_name,club_name,club_position,nationality_name,preferred_foot,overall,potential,birth_month,birth_quarter,birth_year,football_year_type,football_year_month,football_year_quarter,primary_position,position_group,is_tier_1,league_tier,rating_tier,is_starter,rating_decile
1001,15,G. Király,Gábor Király,GK,38,1976-04-01,191,91,Championship,Fulham,SUB,Hungary,Right,65,65,4,2,1976,jan,4,2,GK,GK,False,Other,Middle,False,7
100143,15,F. Boi,Frederik Boi,"RW, CM, RB",32,1981-10-25,184,69,Jupiler Pro League,KSV Cercle Brugge,SUB,Belgium,Right,63,63,10,4,1981,jan,10,4,RW,Forwards,False,Other,Middle,False,6
100330,15,J. Saez,José Saez,"CM, CDM",32,1982-05-07,170,63,Ligue 1,Stade Malherbe Caen,SUB,France,Right,67,67,5,2,1982,jan,5,2,CM,Midfielders,True,Tier 1,Middle,False,8
100470,16,M. Ingham,Michael Ingham,GK,34,1980-07-09,193,87,League Two,York City,SUB,Northern Ireland,Right,57,57,7,3,1980,jan,7,3,GK,GK,False,Other,Middle,False,3
100496,15,E. Tavlaridis,Efstathios Tavlaridis,CB,34,1980-01-25,186,81,Super League,Panathinaikos,LCB,Greece,Right,73,73,1,1,1980,jan,1,1,CB,Defenders,False,Other,Top 20%,True,10
100521,16,D. Noble,David James Noble,"CDM, CM",33,1982-02-02,183,78,League Two,Exeter City,CDM,Scotland,Right,59,59,2,1,1982,jan,2,1,CDM,Midfielders,False,Other,Middle,True,4
100557,15,B. Barry-Murphy,Brian Barry-Murphy,"CDM, CM",35,1978-07-27,185,78,League One,Rochdale,SUB,Republic of Ireland,Left,53,53,7,3,1978,jan,7,3,CDM,Midfielders,False,Other,Bottom 20%,False,1
100574,17,P. Abbott,Paweł Abbott,"ST, CF",34,1982-05-05,189,92,Ekstraklasa,Arka Gdynia,ST,Poland,Right,62,62,5,2,1982,jan,5,2,ST,Forwards,False,Other,Middle,True,5
100585,15,D. Etuhu,Dickson Paul Etuhu,"CM, CDM",32,1982-06-08,188,83,Allsvenskan,AIK,CM,Nigeria,Right,62,62,6,2,1982,jan,6,2,CM,Midfielders,False,Other,Middle,True,5
100745,15,P. Smith,Paul Daniel Smith,GK,34,1979-12-17,193,89,League Two,Southend United,RES,England,Right,55,55,12,4,1979,sept,4,2,GK,GK,False,Other,Bottom 20%,False,2
100751,15,K. O'Connor,Kevin O'Connor,CB,32,1982-02-24,180,76,Championship,Brentford,SUB,Republic of Ireland,Right,60,60,2,1,1982,jan,2,1,CB,Defenders,False,Other,Middle,False,4
100758,16,J. Tabb,Jay Tabb,"LM, CM",31,1984-02-21,170,64,Championship,Ipswich Town,RES,Republic of Ireland,Left,63,63,2,1,1984,jan,2,1,LM,Midfielders,False,Other,Middle,False,6
